[[-0.006, -0.0363, -0.068, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.058, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.016, -0.0263, -0.058, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0463, -0.058, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.016, -0.0263, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.058, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.048, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.058, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0463, -0.058, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0463, -0.078, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, -0.0002], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.001, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.016, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.004, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0263, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, -0.0002], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.016, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176147]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176048]]
[[0.004, -0.0263, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.175827]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.175423]]
[[-0.006, -0.0463, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.174805]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.173859]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.172462]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.170517]]
[[-0.006, -0.0263, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.167931]]
[[-0.006, -0.0363, -0.068, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.164597]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.1604]]
[[-0.006, -0.0363, -0.088, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.155235]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.14904]]
[[-0.006, -0.0363, -0.078, 0.002, -0.001, 0.0018], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.141777]]
[[0.004, -0.0463, -0.088, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.1334]]
[[0.004, -0.0463, -0.078, 0.002, -0.001, 0.0018], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.123848]]
[[-0.006, -0.0363, -0.088, 0.002, -0.001, 0.0008], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.113106]]
[[-0.006, -0.0363, -0.098, 0.002, -0.001, 0.0028], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.101158]]
[[0.004, -0.0463, -0.098, 0.002, -0.001, 0.0018], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.08802]]
[[-0.006, -0.0463, -0.108, 0.003, -0.001, 0.0038], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.073669]]
[[-0.016, -0.0363, -0.108, 0.003, -0.001, 0.0038], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.058128]]
[[-0.006, -0.0463, -0.118, 0.003, -0.001, 0.0048], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.041382]]
[[-0.006, -0.0463, -0.118, 0.003, -0.001, 0.0048], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.023445]]
[[-0.006, -0.0563, -0.128, 0.004, -0.001, 0.0068], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.004364]]
[[-0.006, -0.0563, -0.148, 0.004, 0.0, 0.0068], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 82.984177]]
[[-0.006, -0.0563, -0.158, 0.004, 0.0, 0.0078], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 82.962936]]
[[0.014, -0.0563, -0.148, 0.005, -0.001, 0.0088], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 82.940697]]
