[[0.029, -0.085, 0.0233, 0.0115, 0.0019, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0105, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0105, 0.0019, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.085, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.085, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0115, 0.0019, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.085, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.085, 0.0233, 0.0105, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.085, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0115, 0.0019, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.029, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0233, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.075, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.019, -0.085, 0.0333, 0.0115, 0.0029, -0.0009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
