[[0.0027, 0.032, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.032, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0027, 0.042, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0027, 0.042, 0.01, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.042, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.032, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0027, 0.042, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0173, 0.052, 0.01, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0027, 0.042, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0173, 0.032, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.042, 0.01, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0173, 0.042, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[0.0027, 0.032, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.042, -0.0, -0.004, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.042, 0.01, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0173, 0.042, -0.0, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.0073, 0.042, 0.01, -0.005, 0.0, 0.0009], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
