[[0.025, -0.1023, 0.0323, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1023, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.015, -0.1023, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0323, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0323, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.015, -0.1023, 0.0523, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1123, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.015, -0.1123, 0.0523, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0323, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.014, 0.002, -0.0008], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1023, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.014, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0323, 0.014, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.015, -0.1123, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1023, 0.0523, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1223, 0.0523, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0623, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1023, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.035, -0.1123, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152466]]
[[0.025, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152435]]
[[0.025, -0.1023, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.152344]]
[[0.015, -0.1023, 0.0523, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.1521]]
[[0.025, -0.1023, 0.0423, 0.015, 0.002, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.151703]]
[[0.025, -0.1023, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.151093]]
[[0.025, -0.1123, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.150146]]
[[0.015, -0.1023, 0.0423, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.148743]]
[[0.025, -0.1223, 0.0523, 0.015, 0.003, 0.0002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 263.14682]]
