[[-0.014, 0.0783, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0783, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0077, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0783, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0983, 0.0277, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0277, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0983, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0983, 0.0177, -0.011, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0983, 0.0177, -0.012, -0.0039, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0983, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.034, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152466]]
[[-0.014, 0.0983, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152435]]
[[-0.034, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152336]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.152115]]
[[-0.024, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.151711]]
[[-0.024, 0.0983, 0.0077, -0.012, -0.0039, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.151093]]
[[-0.024, 0.0983, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.150146]]
[[-0.024, 0.0983, 0.0077, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.14875]]
[[-0.034, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.146805]]
[[-0.024, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.144218]]
[[-0.024, 0.0883, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.140884]]
[[-0.024, 0.0983, 0.0277, -0.012, -0.0039, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.136688]]
[[-0.034, 0.0983, 0.0177, -0.012, -0.0029, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.131523]]
[[-0.024, 0.1083, -0.0023, -0.012, -0.0039, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.125328]]
[[-0.034, 0.0983, 0.0077, -0.012, -0.0039, 0.001], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.118065]]
[[-0.014, 0.1083, 0.0077, -0.012, -0.0039, -0.0], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.109688]]
[[-0.034, 0.0983, -0.0123, -0.012, -0.0039, 0.001], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.100136]]
[[-0.024, 0.1083, -0.0223, -0.013, -0.0039, 0.002], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.089394]]
[[-0.034, 0.0983, -0.0323, -0.012, -0.0039, 0.003], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.077446]]
[[-0.024, 0.1083, -0.0523, -0.012, -0.0049, 0.004], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.064308]]
[[-0.034, 0.1083, -0.0823, -0.012, -0.0049, 0.006], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.049957]]
[[-0.034, 0.1083, -0.1323, -0.012, -0.0059, 0.009], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 83.01767]]
[[-0.044, 0.1183, -0.1623, -0.012, -0.0069, 0.011], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 82.999733]]
[[-0.034, 0.1183, -0.1723, -0.012, -0.0069, 0.013], [8.507463, 8.11214, 140.16597, -58.178459, -89.994598, 82.980652]]
