[[0.5377, 0.9523, 0.199, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5277, 0.9423, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5277, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5277, 0.9523, 0.209, -0.0877, 0.051, -0.0086], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.219, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.199, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9423, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9523, 0.209, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5277, 0.9423, 0.219, -0.0877, 0.051, -0.0086], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9423, 0.199, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5377, 0.9423, 0.199, -0.0877, 0.051, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[0.5277, 0.9523, 0.209, -0.0867, 0.052, -0.0076], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
