[[-0.025, 0.147, 0.0443, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0443, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0443, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.157, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.157, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.003, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.157, 0.0443, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.157, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.157, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.157, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0643, -0.0174, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.045, 0.147, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.157, 0.0643, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.147, 0.0643, -0.0164, -0.003, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.157, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0643, -0.0174, -0.003, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0174, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.025, 0.157, 0.0643, -0.0174, -0.003, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.157, 0.0643, -0.0174, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0174, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.167, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
[[-0.035, 0.147, 0.0543, -0.0164, -0.002, 0.0001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.152657]]
