[[-0.03, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.011, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.011, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.03, -0.0293, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.01, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.01, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.01, -0.0393, -0.011, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0393, -0.001, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.02, -0.0293, -0.011, 0.0033, -0.002, 0.0007], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
