[[-0.0143, -0.0383, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0243, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0043, -0.0383, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0043, -0.0283, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0383, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0043, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0243, -0.0283, -0.0447, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0647, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0383, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0243, -0.0383, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0043, -0.0383, -0.0447, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0243, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0043, -0.0283, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0383, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.001], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
[[-0.0143, -0.0283, -0.0547, 0.002, -0.001, 0.0], [8.507647, 5.413489, 138.836838, -54.150681, -89.994461, 83.176178]]
